compression up to input,chance of compression being favorable,average compression ratio,median compression ratio,best compression ratio,best compression input,average favorable compression ratio,median favorable compression ratio
10,10.000000,1.075000,1.000000,0.6666,4,0.6666,0.6666
100,22.000000,1.064190,1.000000,0.6666,4,0.8152,0.8333
1000,21.700000,1.050987,1.000000,0.6666,4,0.8668,0.8888
10000,21.210000,1.048572,1.071429,0.6666,4,0.8979,0.9166
100000,20.148000,1.049140,1.058824,0.6666,4,0.9127,0.9333
