max bit size,chance of compression being favorable,average compression amount in percent,median compression amount in percent,best compression amount in percent,best compression input,average favorable compression amount in percent,median favorable compression amount in percent
20,36.875000,-0.626250,0.000000,50.000000,,9.455367,8.333333
50,24.745000,-2.742143,-3.571429,21.428571,,4.467353,3.571429
100,14.940000,-3.469663,-3.846154,14.423077,,2.562172,1.923077
200,6.015000,-3.812325,-4.000000,6.000000,,1.432253,1.000000
500,0.525000,-4.074385,-4.067460,4.166667,,0.627362,0.595238
1000,0.020000,-4.142140,-4.100000,0.800000,,0.525000,0.550000
2000,0.000000,-4.185310,-4.200000,-1.250000,,0.000000,0.000000
5000,0.000000,-4.213972,-4.220000,-2.240000,,0.000000,0.000000
