compression up to input,chance of compression being favorable,average compression amount in percent,median compression amount in percent,best compression amount in percent,best compression input,average favorable compression amount in percent,median favorable compression amount in percent
10,10.000000,-7.500000,0.000000,33.333333,4,33.333333,33.333333
100,22.000000,-6.419048,0.000000,33.333333,4,18.474026,16.666667
1000,21.700000,-5.098651,0.000000,33.333333,4,13.318704,11.111111
10000,21.210000,-4.857167,-7.142857,33.333333,4,10.203602,8.333333
100000,20.148000,-4.913988,-5.882353,33.333333,4,8.723485,6.666667
1000000,18.645000,-5.141664,-5.000000,33.333333,4,7.406889,5.555556
