compression up to input,chance of compression being favorable,average compression ratio,median compression ratio,best compression ratio,best compression input,average favorable compression ratio,median favorable compression ratio
10,10.000000,1.075000,1.000000,0.666667,4,0.666667,0.666667
100,22.000000,1.064190,1.000000,0.666667,4,0.815260,0.833333
1000,21.700000,1.050987,1.000000,0.666667,4,0.866813,0.888889
10000,21.210000,1.048572,1.071429,0.666667,4,0.897964,0.916667
100000,20.148000,1.049140,1.058824,0.666667,4,0.912765,0.933333
1000000,18.645000,1.051417,1.050000,0.666667,4,0.925931,0.944444
10000000,20.011400,1.046219,1.043478,0.666667,4,0.932292,0.952381
100000000,19.927059,1.042183,1.038462,0.666667,4,0.941079,0.960000
